infohash,creation_date_conv,piece_length,number_pieces,number_files,torrent_size
0d1baad26e0099de2062c4252d53bb9e3d8ab128,2005-10-23 02:48:19,262144,2795,0,732678144
fadb34261e8ba7dcce41cfa479d72240f3a36f12,2008-09-26 13:58:56,262144,12474,0,3269744640
14a42e65d4061383be038afc4b288e0797b6ff02,2006-12-25 02:32:47,262144,4482,0,1174850176
becb9d4b630e4158540db683129b9fa7aecd451f,2008-05-12 13:05:34,262144,15887,8,4164477784
49db9372579ff484fcae99920c2c790303d5cb55,2008-10-11 06:29:12,262144,2804,2,735049104
d3aff05dea6b29167fe8ccf49005dd165aa10024,2008-05-12 13:00:16,262144,2766,2,724975994
b7e58a5e7a3aa58fdbadb4d6838c0fea32501e12,2008-05-12 13:03:28,262144,15109,7,3960564430
8929b29b83736ae650ee8152789559355275bd5c,2011-04-27 09:51:44,262144,4644,4,1217208422
3152cf533aaa6f4f1e2c8eb03606321d0fb803ae,2006-08-16 15:04:52,262144,7234,0,1896155930
4b378567376877da8a50716363c31008e1f6f951,2009-01-08 18:20:29,4194304,3071,1065,12877638514
0d2e68373d313f00c93fa442fa63d9ecf2403892,2005-07-12 10:37:32,262144,2797,0,733065216
3152cf533aaa6f4f1e2c8eb03606321d0fb803ae,2006-08-16 15:04:52,262144,7234,0,1896155930
44a3757a6627c09bf04c97744936ab3cecd37af0,2005-07-27 13:37:01,262144,2801,0,734113792
3ee939ac8f1a0fc0727a83d26a64117a10888356,2013-05-08 18:49:10,4194304,11085,4568,46493323853
557e8a53c45127774f88000822142fbf454c93a0,2005-10-23 02:57:01,262144,2800,0,733992960
a7475ec8ec7390b0394b6d9dd90ce2526afc97a0,2009-09-08 16:13:52,2097152,2148,891,4503910176
e5310fe31cbcb753f6e95fc2122b15c838f6f1f9,2009-01-31 17:11:01,262144,681,2011,178328117
8832778ccae0dbf2625fb1c399c3ff39d0f674b5,2006-12-25 02:39:01,262144,2800,0,733954140
c7c98f86226194c82c8c406ac29e232138c90c1c,2010-10-08 22:46:09,262144,2318,158,607565432
599b089f35d6792b068b059c1f39adb2c0fc3b9e,2008-07-19 17:10:44,2097152,3814,32,7997987958
986b2527d47eef8ffdc56103dcd738cfc76496e7,2014-11-09 13:06:58,2097152,2637,9,5528242095
433af1ca9a1f66418e7086d9b35892fb4faab6b9,2012-12-19 03:53:17,262144,39975,6306,10478978435
aa4998eab00f21c90a349052895671a6613a39a4,2006-04-24 12:50:59,262144,2801,0,734208000
8929b29b83736ae650ee8152789559355275bd5c,2011-04-27 09:51:44,262144,4644,4,1217208422
30edcc0db535dbd62595433ae260fba9b94b7af1,2006-03-19 20:47:35,262144,13209,2,3462630061
3ac28dde13ef4d5a09bcc3ce065f476d628c013c,2006-03-19 20:44:52,262144,13418,7,3517190829
